date,net_profit,income_da,income_rt,cost_degradation
2022-03-01,176.37481446524353,-65.36232944547444,260.71080987172826,18.973665961010276
2022-03-02,484.3458494889351,34.65109938027592,482.19475010865915,32.5
2022-03-03,252.85485393530456,121.30649672721576,170.77202316909907,39.22366596101027
2022-03-04,192.09287754865693,133.03871935179265,78.02782415787456,18.973665961010276
2022-03-05,139.87201228986598,5.230724980797614,161.11495327007864,26.473665961010276
2022-03-06,147.828155607735,34.196251846444305,138.6319037612907,25.0
2022-03-07,257.10797545662047,-99.56838778021435,399.12369515885536,42.44733192202056
2022-03-08,369.7101062606858,-4.302608938079334,416.4600471207857,42.44733192202056
2022-03-09,231.2759333194344,93.68753513743795,177.785730104017,40.19733192202056
2022-03-10,146.5493178285613,98.48269632797029,67.04028746160128,18.973665961010276
2022-03-11,195.81849624239408,79.238094684107,159.08040155828706,42.5
2022-03-12,640.2131933591626,-164.08763062989271,866.8008239890553,62.5
2022-03-14,288.8899948023825,-0.22973745956367253,320.6197322619462,31.5
2022-03-15,186.60130654999816,54.99815479046166,163.07681772054679,31.473665961010276
2022-03-16,200.44434319510464,48.8368683079802,179.10747488712445,27.5
2022-03-17,155.11290653915853,53.63683149200482,139.42340696917427,37.94733192202056
2022-03-18,145.5325872589944,25.357317143982815,143.64893607602187,23.47366596101028
2022-03-19,159.4747103903379,68.1141312522707,126.08424509907748,34.723665961010276
2022-03-20,296.6534906512602,-88.28846760902204,422.4419582602822,37.5
2022-03-21,419.99779426009593,-106.10530405082076,584.0504302329373,57.94733192202056
2022-03-22,203.5119115098235,-64.84513760958215,300.85704911940564,32.5
2022-03-23,148.8294290013474,53.894038176752886,120.65905678560479,25.723665961010283
2022-03-24,222.0375659550582,-136.08321233324276,402.8181102103215,44.69733192202056
2022-03-25,432.1480663945571,-125.7587479478224,625.4068143423794,67.5
